Game,Players,Strategies per player,Number of¬†pure strategy¬†Nash equilibria,Sequential,Perfect information,Constant sum¬†(e.g.¬†Zero sum),link,Year,Place,Description
Battle of the sexes,2,2,2,No,No,No,https://en.wikipedia.org/wiki/Battle_of_the_sexes_(game_theory),1957,US,the battle of the sexes is a two-player coordination game that also involves elements of conflict.
Centipede game,2,variable,1,Yes,Yes,No,https://en.wikipedia.org/wiki/Centipede_game,1981,US,"the centipede game, first introduced by Robert Rosenthal in 1981, is an extensive form game in which two players take turns choosing either to take a slightly larger share of an increasing pot, or to pass the pot to the other player."
Chicken¬†(aka hawk-dove),2,2,2,No,No,No,https://en.wikipedia.org/wiki/Game_of_chicken,NA,NA,"The game of chicken, also known as the hawk–dove game or snowdrift game, is a model of conflict for two players in game theory. The principle of the game is that while the ideal outcome is for one player to yield (to avoid the worst outcome if neither yields), the individuals try to avoid it out of pride for not wanting to look like a ""chicken"". Each player taunts the other to increase the risk of shame in yielding. However, when one player yields, the conflict is avoided, and the game is for the most part over."
Coordination game,N,variable,>2,No,No,No,https://en.wikipedia.org/wiki/Coordination_game,NA,NA,A coordination game is a type of simultaneous game found in game theory. It describes the situation where a player will earn a higher payoff when they select the same course of action as another player.
Cournot game,2,infinite[1],1,No,No,Yes,https://en.wikipedia.org/wiki/Cournot_game,1838,France,"Cournot competition is an economic model used to describe an industry structure in which companies compete on the amount of output they will produce, which they decide on independently of each other and at the same time."
Deadlock,2,2,1,No,No,No,https://en.wikipedia.org/wiki/Deadlock_(game),NA,NA,"In game theory, Deadlock is a game where the action that is mutually most beneficial is also dominant. This provides a contrast to the Prisoner's Dilemma where the mutually most beneficial action is dominated."
Dictator game,2,infinite[1],1,N/A[2],N/A[2],Yes,https://en.wikipedia.org/wiki/Dictator_game,1988,US,"The dictator game is a popular experimental instrument in social psychology and economics, a derivative of the ultimatum game. The term ""game"" is a misnomer because it captures a decision by a single player: to send money to another or not."
Diner's dilemma,N,2,1,No,No,No,https://en.wikipedia.org/wiki/Diner%27s_dilemma,2004,US,"diner's dilemma is an n-player prisoner's dilemma. The situation imagined is that several people go out to eat, and before ordering, they agree to split the cost equally between them. Each diner must now choose whether to order the costly or cheap dish. It is presupposed that the costlier dish is better than the cheaper, but not by enough to warrant paying the difference when eating alone. Each diner reasons that, by ordering the costlier dish, the extra cost to their own bill will be small, and thus the better dinner is worth the money. However, all diners having reasoned thus, they each end up paying for the costlier dish, which by assumption, is worse than had they each ordered the cheaper."
Dollar auction,2,2,0,Yes,Yes,No,https://en.wikipedia.org/wiki/Dollar_auction,NA,US,The dollar auction is a non-zero sum sequential game explored by economist Martin Shubik to illustrate a paradox brought about by traditional rational choice theory in which players are compelled to make an ultimately irrational decision based completely on a sequence of apparently rational choices made throughout the game.
El Farol bar,N,2,variable,No,No,No,https://en.wikipedia.org/wiki/El_Farol_bar_problem,1994,US,"The El Farol bar problem is a problem in game theory. Every Thursday night, a fixed population want to go have fun at the El Farol Bar, unless it's too crowded."
Guess 2/3 of the average,N,infinite,1,No,No,Yes,https://en.wikipedia.org/wiki/Guess_2/3_of_the_average,2022,Earth,This game is originated on Earth
Kuhn poker,2,12 & 4,0,Yes,No,Yes,https://en.wikipedia.org/wiki/Kuhn_poker,2022,Earth,This game is originated on Earth
Matching pennies¬†aka¬†Parity game,2,2,0,No,No,Yes,https://en.wikipedia.org/wiki/Matching_pennies,2022,Earth,This game is originated on Earth
Minority Game,N,2,variable,No,No,No,https://en.wikipedia.org/wiki/El_Farol_Bar_problem#Minority_game,2022,Earth,This game is originated on Earth
Nash bargaining game,2,infinite[1],infinite[1],No,No,Yes,https://en.wikipedia.org/wiki/Nash_bargaining_game,2022,Earth,This game is originated on Earth
Pirate game,N,infinite[1],infinite[1],Yes,Yes,Yes,https://en.wikipedia.org/wiki/Pirate_game,2022,Earth,This game is originated on Earth
Prisoner's dilemma,2,2,1,No,No,No,https://en.wikipedia.org/wiki/Prisoner%27s_dilemma,2022,Earth,This game is originated on Earth
"Rock, Paper, Scissors",2,3,0,No,No,Yes,"https://en.wikipedia.org/wiki/Rock,_paper,_scissors",2022,Earth,This game is originated on Earth
Signaling game,N,variable,variable,Yes,No,No,https://en.wikipedia.org/wiki/Signaling_games,2022,Earth,This game is originated on Earth
Stag hunt,2,2,2,No,No,No,https://en.wikipedia.org/wiki/Stag_hunt,2022,Earth,This game is originated on Earth
Trust game,2,infinite,1,Yes,Yes,No,https://en.wikipedia.org/wiki/Trust_game,2022,Earth,This game is originated on Earth
Ultimatum game,2,infinite[1],infinite[1],Yes,Yes,,https://en.wikipedia.org/wiki/Ultimatum_game,2022,Earth,This game is originated on Earth
Blotto games,2,variable,variable,No,No,Yes,https://en.wikipedia.org/wiki/Blotto_games,2022,Earth,This game is originated on Earth
Cake cutting,"N, usually 2",infinite,variable[1],Yes,Yes,Yes,https://en.wikipedia.org/wiki/Fair_cake-cutting,2022,Earth,This game is originated on Earth
Cournot game,2,infinite[2],1,No,No,No,https://en.wikipedia.org/wiki/Cournot_game,2022,Earth,This game is originated on Earth
Dictator game,2,infinite[2],1,N/A[3],N/A[3],Yes,https://en.wikipedia.org/wiki/Dictator_game,2022,Earth,This game is originated on Earth
Game without a value,2,infinite,0,No,No,Yes,https://en.wikipedia.org/wiki/Example_of_a_game_without_a_value,2022,Earth,This game is originated on Earth
Gift-exchange game,"N, usually 2",variable,1,Yes,Yes,No,https://en.wikipedia.org/wiki/Gift-exchange_Game,2022,Earth,This game is originated on Earth
